,champion,cluster
0,Karma,1
1,Nocturne,15
2,Lucian,6
3,Olaf,15
4,Fizz,15
5,Alistar,19
6,Thresh,4
7,Senna,0
8,Malphite,8
9,Zyra,9
10,Trundle,4
11,Rakan,19
12,Ivern,19
13,Jayce,3
14,Karthus,9
15,Xerath,9
16,Dr. Mundo,6
17,Quinn,3
18,Braum,19
19,Sivir,7
20,Skarner,4
21,Corki,3
22,Sejuani,5
23,Lux,1
24,Gangplank,14
25,Mordekaiser,8
26,Kha'Zix,17
27,Talon,6
28,Graves,17
29,Varus,7
30,Zoe,3
31,Fiora,2
32,Sion,10
33,Akali,6
34,Ekko,6
35,Draven,11
36,Heimerdinger,9
37,Miss Fortune,11
38,Garen,13
39,Caitlyn,7
40,Ziggs,9
41,Irelia,2
42,Vladimir,3
43,Aphelios,7
44,Nidalee,17
45,Ashe,11
46,Lulu,4
47,Aurelion Sol,6
48,Jarvan IV,4
49,Gnar,8
50,Taric,4
51,Veigar,16
52,Zac,15
53,Kog'Maw,18
54,Evelynn,14
55,Jhin,11
56,Urgot,10
57,Pyke,5
58,Kled,10
59,Janna,12
60,Azir,14
61,Shen,10
62,Twisted Fate,2
63,Gragas,17
64,Jax,2
65,Riven,2
66,Nunu & Willump,1
67,Tristana,2
68,Diana,6
69,Tryndamere,2
70,Lillia,14
71,Yorick,6
72,Cassiopeia,6
73,Zed,14
74,Sylas,6
75,Syndra,3
76,Nami,19
77,Kassadin,16
78,Vi,12
79,Rumble,3
80,Ornn,10
81,Anivia,12
82,Ahri,6
83,Ryze,6
84,Volibear,1
85,Yasuo,15
86,Renekton,10
87,Galio,10
88,Xin Zhao,1
89,Neeko,8
90,Kayn,17
91,Bard,1
92,Yuumi,8
93,Twitch,0
94,LeBlanc,3
95,Elise,17
96,Sona,12
97,Shyvana,18
98,Poppy,10
99,Hecarim,15
100,Illaoi,9
101,Singed,8
102,Lissandra,8
103,Lee Sin,5
104,Fiddlesticks,8
105,Wukong,10
106,Darius,10
107,Kindred,17
108,Kai'Sa,11
109,Vel'Koz,3
110,Leona,4
111,Rek'Sai,5
112,Jinx,0
113,Kalista,11
114,Pantheon,15
115,Qiyana,6
116,Taliyah,0
117,Kayle,14
118,Viktor,3
119,Zilean,8
120,Orianna,6
121,Blitzcrank,1
122,Cho'Gath,6
123,Xayah,11
124,Camille,2
125,Vayne,0
126,Kennen,8
127,Maokai,8
128,Swain,3
129,Morgana,1
130,Tahm Kench,4
131,Soraka,1
132,Sett,10
133,Aatrox,2
134,Malzahar,8
135,Ezreal,18
136,Nautilus,19
137,Master Yi,20
138,Rengar,20
139,Amumu,20
140,Brand,20
141,Katarina,20
142,Shaco,20
143,Teemo,20
144,Warwick,20
145,Rammus,20
146,Annie,20
