,champion,cluster
0,Vayne,9
1,Urgot,4
2,Cho'Gath,5
3,Ziggs,2
4,Poppy,4
5,Bard,7
6,Twisted Fate,4
7,Veigar,5
8,Jayce,8
9,Kayn,5
10,Draven,9
11,Sejuani,1
12,Trundle,3
13,Jax,0
14,Graves,0
15,Kled,4
16,Caitlyn,9
17,Azir,6
18,Fizz,5
19,Skarner,3
20,Kindred,0
21,Jinx,9
22,Pyke,1
23,Kog'Maw,2
24,Shyvana,2
25,Jhin,9
26,Diana,5
27,Ornn,4
28,Ekko,0
29,Leona,3
30,Tristana,0
31,Ivern,3
32,Sett,4
33,Lux,7
34,Taric,3
35,Ahri,5
36,Rumble,8
37,Sivir,9
38,Swain,8
39,Yasuo,1
40,Aphelios,9
41,Renekton,4
42,Viktor,8
43,Nunu & Willump,7
44,Quinn,8
45,Xerath,2
46,Corki,8
47,Volibear,1
48,Cassiopeia,5
49,Rek'Sai,1
50,Talon,5
51,LeBlanc,8
52,Orianna,6
53,Evelynn,6
54,Ezreal,2
55,Nami,3
56,Vel'Koz,8
57,Lillia,8
58,Miss Fortune,9
59,Lulu,3
60,Shen,4
61,Heimerdinger,2
62,Maokai,6
63,Taliyah,8
64,Kai'Sa,9
65,Darius,4
66,Illaoi,2
67,Jarvan IV,3
68,Lee Sin,1
69,Nautilus,3
70,Ashe,9
71,Elise,0
72,Gangplank,8
73,Kalista,0
74,Akali,5
75,Olaf,1
76,Sion,4
77,Dr. Mundo,6
78,Sona,1
79,Anivia,1
80,Xin Zhao,7
81,Zoe,8
82,Galio,4
83,Vi,1
84,Aurelion Sol,5
85,Yorick,5
86,Garen,7
87,Syndra,8
88,Ryze,5
89,Zilean,4
90,Morgana,7
91,Camille,0
92,Vladimir,8
93,Neeko,6
94,Fiora,0
95,Tryndamere,0
96,Senna,8
97,Yuumi,5
98,Hecarim,0
99,Blitzcrank,7
100,Irelia,0
101,Mordekaiser,6
102,Zac,1
103,Wukong,4
104,Tahm Kench,3
105,Pantheon,4
106,Kassadin,5
107,Fiddlesticks,4
108,Riven,0
109,Karma,7
110,Zed,6
111,Twitch,9
112,Malzahar,6
113,Qiyana,5
114,Aatrox,4
115,Alistar,3
116,Gragas,0
117,Janna,7
118,Lucian,6
119,Kayle,6
120,Xayah,9
121,Thresh,3
122,Gnar,6
123,Nocturne,1
124,Varus,9
125,Braum,3
126,Zyra,2
127,Nidalee,0
128,Malphite,4
129,Karthus,2
130,Singed,4
131,Soraka,7
132,Kennen,6
133,Sylas,5
134,Kha'Zix,0
135,Lissandra,6
136,Rakan,3
137,Teemo,10
138,Brand,10
139,Rengar,10
140,Rammus,10
141,Master Yi,10
142,Shaco,10
143,Warwick,10
144,Annie,10
145,Amumu,10
146,Katarina,10
