,pick1,pick2,pick3,pick4,pick5,pick6,pick7,pick8,pick9,pick10,ban1,ban2,ban3,ban4,ban5,result
1,Rumble,Elise,Qiyana,Miss Fortune,Nautilus,Aatrox,Gragas,Mordekaiser,Xayah,Rakan,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,1
2,Jayce,Jarvan IV,Orianna,Miss Fortune,Nautilus,Aatrox,Elise,Qiyana,Varus,Tahm Kench,Lucian,Akali,Rek'Sai,Irelia,Camille,0
3,Renekton,Rek'Sai,Mordekaiser,Xayah,Rakan,Aatrox,Sejuani,Azir,Miss Fortune,Nautilus,Lucian,Akali,Elise,Irelia,Orianna,1
4,Pantheon,Elise,Nautilus,Xayah,Rakan,Quinn,Olaf,Orianna,Miss Fortune,Leona,Lucian,Rek'Sai,Akali,Renekton,Qiyana,0
5,Mordekaiser,Jarvan IV,Ryze,Xayah,Rakan,Renekton,Elise,Vel'Koz,Varus,Braum,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,0
6,Kennen,Olaf,Ornn,Miss Fortune,Braum,Vladimir,Lee Sin,Rumble,Varus,Thresh,Akali,Lucian,Qiyana,Rek'Sai,Poppy,1
7,Camille,Qiyana,Orianna,Miss Fortune,Braum,Aatrox,Lee Sin,Fizz,Varus,Thresh,Akali,Lucian,Rek'Sai,Fiora,Ryze,1
8,Rumble,Olaf,Syndra,Senna,Tahm Kench,Irelia,Lee Sin,Ekko,Varus,Braum,Akali,Lucian,Miss Fortune,LeBlanc,Rek'Sai,0
9,Kennen,Qiyana,Ornn,Xayah,Rakan,Aatrox,Lee Sin,Vladimir,Varus,Tahm Kench,Lucian,Miss Fortune,Akali,Elise,Gragas,1
10,Aatrox,Olaf,Orianna,Varus,Tahm Kench,Hecarim,Qiyana,Rumble,Sivir,Nautilus,Akali,Lucian,Miss Fortune,Lee Sin,Zoe,0
11,Aatrox,Qiyana,Rumble,Senna,Braum,Ornn,Jarvan IV,Ryze,Miss Fortune,Leona,Aphelios,Akali,Lucian,Varus,Xayah,1
12,Aatrox,Qiyana,Orianna,Varus,Braum,Fiora,Jarvan IV,Mordekaiser,Miss Fortune,Thresh,Aphelios,Akali,Lucian,Elise,Gragas,0
13,Renekton,Gragas,Irelia,Aphelios,Braum,Aatrox,Jarvan IV,LeBlanc,Miss Fortune,Leona,Akali,Qiyana,Lucian,Thresh,Yasuo,1
14,Ornn,Qiyana,Orianna,Varus,Braum,Mordekaiser,Jarvan IV,Diana,Miss Fortune,Leona,Aphelios,Akali,Lucian,Gragas,Aatrox,1
15,Aatrox,Jarvan IV,Zoe,Miss Fortune,Leona,Renekton,Lee Sin,Rumble,Varus,Braum,Akali,Aphelios,Pantheon,Ryze,Orianna,1
16,Aatrox,Rek'Sai,LeBlanc,Aphelios,Leona,Mordekaiser,Jarvan IV,Ryze,Miss Fortune,Braum,Akali,Qiyana,Gragas,Fiora,Lucian,0
17,Mordekaiser,Olaf,Taliyah,Aphelios,Leona,Gangplank,Gragas,Lucian,Miss Fortune,Nautilus,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,1
18,Ornn,Taliyah,Pantheon,Miss Fortune,Thresh,Renekton,Qiyana,Ryze,Senna,Tahm Kench,Akali,Aphelios,Elise,Quinn,Mordekaiser,0
19,Aatrox,Jarvan IV,Cassiopeia,Aphelios,Braum,Ornn,Kindred,LeBlanc,Caitlyn,Nautilus,Akali,Lucian,Rumble,Mordekaiser,Irelia,0
20,Ornn,Elise,Irelia,Aphelios,Thresh,Mordekaiser,Lee Sin,LeBlanc,Miss Fortune,Leona,Akali,Lucian,Rumble,Jarvan IV,Olaf,0
21,Ornn,Gragas,Jayce,Miss Fortune,Leona,Fiora,Elise,Qiyana,Senna,Braum,Akali,Aphelios,Lucian,Mordekaiser,Nautilus,0
22,Camille,Qiyana,Orianna,Aphelios,Thresh,Mordekaiser,Elise,Jayce,Xayah,Rakan,Akali,Rumble,Olaf,LeBlanc,Gragas,0
23,Ornn,Elise,Irelia,Kai'Sa,Leona,Gangplank,Qiyana,LeBlanc,Miss Fortune,Braum,Akali,Aphelios,Lucian,Mordekaiser,Renekton,0
24,Kennen,Qiyana,Ekko,Varus,Braum,Irelia,Jarvan IV,Rumble,Miss Fortune,Nautilus,Akali,Aphelios,Orianna,Gragas,Renekton,1
25,Akali,Lee Sin,LeBlanc,Varus,Leona,Kennen,Rek'Sai,Rumble,Miss Fortune,Rakan,Aphelios,Qiyana,Pantheon,Ryze,Irelia,0
26,Kennen,Olaf,Ryze,Lucian,Braum,Renekton,Taliyah,Cassiopeia,Miss Fortune,Leona,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,0
27,LeBlanc,Lee Sin,Lucian,Miss Fortune,Nautilus,Renekton,Taliyah,Lissandra,Senna,Braum,Akali,Aphelios,Pantheon,Mordekaiser,Ornn,0
28,Aatrox,Gragas,Ryze,Miss Fortune,Leona,Mordekaiser,Lee Sin,Zoe,Senna,Tahm Kench,Akali,Aphelios,Olaf,Pantheon,Renekton,1
29,Mordekaiser,Lee Sin,Rumble,Miss Fortune,Leona,Renekton,Taliyah,Aatrox,Lucian,Rakan,Akali,Aphelios,Qiyana,Rek'Sai,Jarvan IV,0
30,Renekton,Rek'Sai,Ryze,Aphelios,Nautilus,Rumble,Jarvan IV,Cassiopeia,Senna,Thresh,Akali,Lucian,Elise,Aatrox,Ornn,0
31,Fiora,Lee Sin,Nautilus,Aphelios,Braum,Mordekaiser,Qiyana,Cassiopeia,Miss Fortune,Leona,Akali,Lucian,Elise,Gangplank,Aatrox,1
32,Kennen,Jarvan IV,Rumble,Miss Fortune,Leona,Camille,Qiyana,Mordekaiser,Kai'Sa,Nautilus,Senna,Aphelios,Olaf,Cassiopeia,Thresh,1
33,Sett,Rek'Sai,Rumble,Aphelios,Thresh,Vladimir,Gragas,Lucian,Miss Fortune,Nautilus,Akali,Jarvan IV,Olaf,Braum,Ornn,0
34,Mordekaiser,Lee Sin,Zoe,Senna,Rakan,Ornn,Olaf,Rumble,Miss Fortune,Braum,Akali,Elise,Aphelios,Gangplank,Tahm Kench,1
35,Sett,Nidalee,Qiyana,Varus,Braum,Ornn,Olaf,Zoe,Aphelios,Leona,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1
36,Gangplank,Qiyana,Zoe,Miss Fortune,Braum,Mordekaiser,Rek'Sai,Nautilus,Aphelios,Rakan,Akali,Lucian,Rumble,Elise,Renekton,0
37,Aatrox,Gragas,Lucian,Varus,Braum,Renekton,Rek'Sai,Rumble,Miss Fortune,Rakan,Akali,Aphelios,Qiyana,Zoe,LeBlanc,0
38,Aatrox,Lee Sin,LeBlanc,Miss Fortune,Morgana,Gangplank,Gragas,Lissandra,Aphelios,Leona,Akali,Lucian,Mordekaiser,Shen,Rakan,0
39,Aatrox,Nocturne,Rumble,Senna,Braum,Mordekaiser,Rek'Sai,Sylas,Miss Fortune,Leona,Akali,Aphelios,Qiyana,Gragas,Gangplank,1
40,Aatrox,Qiyana,Rumble,Senna,Braum,Renekton,Jarvan IV,Zilean,Aphelios,Leona,Akali,Mordekaiser,Lucian,Ornn,Irelia,0
41,Renekton,Jarvan IV,Rumble,Lucian,Nautilus,Jax,Qiyana,Cassiopeia,Miss Fortune,Leona,Akali,Mordekaiser,Irelia,Thresh,Ornn,1
42,Kennen,Elise,Lucian,Miss Fortune,Leona,Camille,Qiyana,Cassiopeia,Aphelios,Nautilus,Akali,Mordekaiser,Rumble,Ornn,Jayce,1
43,Aatrox,Lee Sin,Diana,Senna,Leona,Jax,Jarvan IV,Zoe,Miss Fortune,Nautilus,Akali,Renekton,Elise,LeBlanc,Ornn,1
44,Mordekaiser,Rek'Sai,Orianna,Senna,Braum,Aatrox,Lee Sin,Sylas,Lucian,Leona,Akali,Gragas,Elise,Zoe,Kennen,1
45,Vladimir,Elise,Pantheon,Aphelios,Nautilus,Ornn,Lee Sin,Viktor,Varus,Tahm Kench,Akali,Renekton,Miss Fortune,Qiyana,Gangplank,0
46,Irelia,Qiyana,Rumble,Miss Fortune,Leona,Renekton,Lee Sin,Cassiopeia,Varus,Nautilus,Akali,Lucian,Senna,Elise,Rek'Sai,1
47,Mordekaiser,Qiyana,Cassiopeia,Senna,Tahm Kench,Ornn,Rek'Sai,Vel'Koz,Miss Fortune,Thresh,Lee Sin,Sylas,Akali,Rumble,Aatrox,1
48,Malphite,Gragas,Azir,Senna,Braum,Vladimir,Jarvan IV,Lucian,Aphelios,Nautilus,Akali,Yasuo,Ornn,Mordekaiser,Cassiopeia,0
49,Rumble,Jarvan IV,Cassiopeia,Miss Fortune,Rakan,Camille,Rek'Sai,Zoe,Varus,Braum,Akali,Qiyana,Lucian,Renekton,Gangplank,1
50,Kennen,Rek'Sai,Rumble,Senna,Tahm Kench,Ornn,Lee Sin,Sylas,Miss Fortune,Bard,Akali,Lucian,Irelia,Qiyana,Jarvan IV,0
51,Gangplank,Qiyana,Cassiopeia,Aphelios,Leona,Mordekaiser,Elise,Orianna,Miss Fortune,Braum,Akali,Lucian,Rumble,Nautilus,Fiora,1
52,Vladimir,Gragas,Yasuo,Miss Fortune,Nautilus,Ornn,Rek'Sai,Cassiopeia,Aphelios,Leona,Akali,Lucian,Elise,Camille,Zoe,1
53,Rumble,Gragas,Ryze,Miss Fortune,Nautilus,Dr. Mundo,Jarvan IV,Cassiopeia,Sivir,Braum,Yasuo,Akali,Rakan,Aatrox,Gangplank,1
