champion,F1,F2,F3,F4
Aatrox,-0.07131583366711046,0.13628805020120394,0.23237013559656533,-0.270556968213272
Ahri,0.7307184210677488,0.3908933048925267,0.20172975563128137,-0.18584217535690636
Akali,0.3183962116453164,0.2787063037272187,0.17085829678022432,-0.26719032137556287
Alistar,-1.5029005656237817,-0.16499622406678102,-0.09607132452281583,0.4300592772933143
Amumu,-0.8351431053595502,-0.004489493839305201,-0.8083575704869936,0.049771660351163795
Anivia,-0.9086902558143268,0.5833005897574297,0.26112029931206876,-0.3398397668197127
Annie,0.3820830505671193,1.4038384427542416,-0.5582639706913222,-0.03351867876572058
Aphelios,1.1611514924632185,-0.3936733025955045,-0.24777211635879356,-0.03264563338409879
Ashe,0.7937291442263941,-0.3348918244087334,-0.26676216160789806,-0.03254047227665097
Aurelion Sol,0.03796513101796232,0.6806072771927432,0.06251421672386646,-0.21325067286869145
Azir,0.6269994852291159,0.23729071227607154,0.2128667928302231,-0.2505851256509709
Bard,-0.7357266309877344,-0.12529592877239473,0.055250175755143925,0.36693405563514087
Blitzcrank,-0.997723583885074,-0.11721293045340334,-0.10603827665592061,0.4075768527600214
Brand,1.5953980808441905,1.9578171695544426,-0.6954145393691581,0.5268782414353481
Braum,-1.4297660622405095,-0.1134237182480513,-0.01854923714698887,0.4253854752541659
Caitlyn,1.182419917707009,-0.40746508542746945,-0.2279121560366967,-0.020912682893016177
Camille,0.24292390117001356,-0.0042581939932943135,0.10228483521374342,-0.31054277532533114
Cassiopeia,0.4097862146915433,0.1479485925558679,0.08607739883663341,-0.2686024691475291
Cho'Gath,0.0012587336202801746,0.3145393037619536,0.06571377005763775,-0.1825122151935176
Corki,1.265830594344313,0.23317629991113237,0.11286983249897878,-0.1805517685731399
Darius,-0.31922253225311303,0.03355387692438819,0.37403632716703833,-0.2781685126311326
Diana,0.28424962206733334,0.2402817971406996,0.17255659417546423,-0.18548299087764075
Dr. Mundo,0.9043115020731728,-0.1107789137736689,0.07905420863375744,-0.16456921249875942
Draven,0.6154564786434462,-0.7440490788099589,-0.23941485597875303,-0.09245904212547723
Ekko,0.2733068193843596,0.020194645566000785,0.09477201268194238,-0.15543674019414253
Elise,-0.08263686651971089,-0.061238204479382205,-0.17001255757881667,0.11397100182819338
Evelynn,0.6018190799953212,0.2200532272035252,0.21289666621291797,0.1322490501226779
Ezreal,1.708938713620732,0.07161803102286783,-0.28999669802971795,0.08640418062058539
Fiddlesticks,-0.008358146123039482,0.6257094227283947,0.2081548643964748,0.031874429410317755
Fiora,0.17822780997735155,-0.11806378006660045,0.21881677763421975,-0.3404371416037787
Fizz,-0.2317235533035479,0.24521894282649231,0.1903988307623966,-0.3205665217807658
Galio,-0.17449523648582807,0.4562932854192331,0.13261308101683736,-0.18671790375872516
Gangplank,1.275809334705977,0.14414150096494444,0.038129332355341536,-0.19305012426149315
Garen,-0.40066773557686625,0.1052723411401663,0.24750079852465354,-0.36927725712741605
Gnar,0.5123730646225225,0.4378850308548568,0.20297013883730444,-0.19216434116170714
Gragas,0.12548475333009518,0.08866262226571209,-0.14318260212398767,0.1663844662882232
Graves,0.17078708091085004,-0.26956863340656434,0.03584132904547009,-0.001052756029113357
Hecarim,-0.20689002850954574,-0.1027418874354997,-0.03400900846034687,-0.10705514621244198
